Region	Group	max_MAF	Pvalue	Pvalue_Burden	Pvalue_SKAT	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
GENE1	lof	0.001	0.0373084549570379	0.0373084549570379	0.0373084549570379	0.13117968304066	0.0629953001787638	5	2	3	0	4
GENE1	lof	0.01	0.445432795195398	0.299674329883499	0.852059511179866	-0.0211843271072669	0.0204258729902027	98	7	91	3	12
GENE1	missense;lof	0.001	0.0586439029866499	0.0586439029866499	0.0586439029866499	0.0917210006341405	0.0485077244592184	10	3	7	0	7
GENE1	missense;lof	0.01	0.537985291313919	0.366225276976167	0.941679848120123	-0.0162080086852826	0.0179378136730647	119	10	109	4	17
GENE1	missense;lof;synonymous	0.001	0.0586439029866499	0.0586439029866499	0.0586439029866499	0.0917210006341405	0.0485077244592184	10	3	7	0	7
GENE1	missense;lof;synonymous	0.01	0.537985291313919	0.366225276976167	0.941679848120123	-0.0162080086852826	0.0179378136730647	119	10	109	4	17
GENE1	Cauchy	NA	0.0966068448938692	0.0892014278248832	0.238810604783099	NA	NA	NA	NA	NA	NA	NA
GENE2	lof	0.001	0.3923886863082	0.3923886863082	0.3923886863082	-0.053263661783901	0.0622753030663012	5	0	5	0	3
GENE2	lof	0.01	0.599562276282978	0.926271612850634	0.466742730597799	-0.00317378354818428	0.0342975558763935	22	2	20	1	4
GENE2	missense;lof	0.001	0.985823169550294	0.985823169550294	0.985823169550294	-0.000683326748432562	0.0384562103040834	15	2	13	0	9
GENE2	missense;lof	0.01	0.625525074132172	0.450344075044118	0.697711996361318	0.0161207762153387	0.0213565042247511	77	10	67	3	15
GENE2	missense;lof;synonymous	0.001	0.985823169550294	0.985823169550294	0.985823169550294	-0.000683326748432562	0.0384562103040834	15	2	13	0	9
GENE2	missense;lof;synonymous	0.01	0.625525074132169	0.450344075044118	0.697711996361318	0.0161207762153387	0.0213565042247511	77	10	67	3	15
GENE2	Cauchy	NA	0.95842852261721	0.960780238942538	0.958581525921333	NA	NA	NA	NA	NA	NA	NA
